DateS,start_station_id
2021-02-01,0
2021-02-02,0
2021-02-03,60
2021-02-04,132
2021-02-05,146
2021-02-06,204
2021-02-07,42
2021-02-08,128
2021-02-09,147
2021-02-10,161
2021-02-11,148
2021-02-12,161
2021-02-13,150
2021-02-14,134
2021-02-15,159
2021-02-16,202
2021-02-17,146
2021-02-18,31
2021-02-19,68
2021-02-20,177
2021-02-21,154
2021-02-22,117
2021-02-23,206
2021-02-24,206
2021-02-25,223
2021-02-26,224
2021-02-27,187
2021-02-28,105
2021-03-01,176
2021-03-02,174
2021-03-03,252
2021-03-04,225
2021-03-05,150
2021-03-06,174
2021-03-07,161
2021-03-08,203
2021-03-09,265
2021-03-10,251
2021-03-11,268
2021-03-12,309
2021-03-13,230
2021-03-14,206
2021-03-15,200
2021-03-16,202
2021-03-17,228
2021-03-18,89
2021-03-19,222
2021-03-20,272
2021-03-21,307
2021-03-22,266
2021-03-23,320
2021-03-24,142
2021-03-25,278
2021-03-26,332
2021-03-27,340
2021-03-28,151
2021-03-29,261
2021-03-30,322
2021-03-31,220
2021-04-01,256
2021-04-02,222
2021-04-03,275
2021-04-04,250
2021-04-05,360
2021-04-06,372
2021-04-07,384
2021-04-08,403
2021-04-09,296
2021-04-10,351
2021-04-11,118
2021-04-12,163
2021-04-13,384
2021-04-14,358
2021-04-15,139
2021-04-16,226
2021-04-17,353
2021-04-18,347
2021-04-19,369
2021-04-20,424
2021-04-21,321
2021-04-22,321
2021-04-23,341
2021-04-24,410
2021-04-25,262
2021-04-26,386
2021-04-27,388
2021-04-28,392
2021-04-29,323
2021-04-30,376
2021-05-01,416
2021-05-02,397
2021-05-03,364
2021-05-04,441
2021-05-05,227
2021-05-06,430
2021-05-07,426
2021-05-08,265
2021-05-09,250
2021-05-10,367
2021-05-11,438
2021-05-12,414
2021-05-13,421
2021-05-14,430
2021-05-15,435
2021-05-16,389
2021-05-17,432
2021-05-18,516
2021-05-19,479
2021-05-20,543
2021-05-21,483
2021-05-22,448
2021-05-23,461
2021-05-24,521
2021-05-25,533
2021-05-26,441
2021-05-27,505
2021-05-28,267
2021-05-29,155
2021-05-30,77
2021-05-31,409
2021-06-01,439
2021-06-02,546
2021-06-03,330
2021-06-04,416
2021-06-05,515
2021-06-06,448
2021-06-07,470
2021-06-08,382
2021-06-09,502
2021-06-10,543
2021-06-11,472
2021-06-12,405
2021-06-13,428
2021-06-14,448
2021-06-15,537
2021-06-16,478
2021-06-17,514
2021-06-18,463
2021-06-19,402
2021-06-20,421
2021-06-21,482
2021-06-22,379
2021-06-23,584
2021-06-24,507
2021-06-25,476
2021-06-26,479
2021-06-27,520
2021-06-28,469
2021-06-29,491
2021-06-30,441
2021-07-01,286
2021-07-02,363
2021-07-03,264
2021-07-04,272
2021-07-05,377
2021-07-06,385
2021-07-07,454
2021-07-08,363
2021-07-09,411
2021-07-10,449
2021-07-11,467
2021-07-12,460
2021-07-13,482
2021-07-14,519
2021-07-15,480
2021-07-16,456
2021-07-17,320
2021-07-18,434
2021-07-19,512
2021-07-20,546
2021-07-21,468
2021-07-22,570
2021-07-23,487
2021-07-24,463
2021-07-25,406
2021-07-26,484
2021-07-27,488
2021-07-28,460
2021-07-29,368
2021-07-30,460
2021-07-31,471
2021-08-01,407
2021-08-02,454
2021-08-03,503
2021-08-04,479
2021-08-05,433
2021-08-06,422
2021-08-07,427
2021-08-08,356
2021-08-09,478
2021-08-10,419
2021-08-11,468
2021-08-12,421
2021-08-13,388
2021-08-14,449
2021-08-15,420
2021-08-16,461
2021-08-17,464
2021-08-18,481
2021-08-19,398
2021-08-20,463
2021-08-21,432
2021-08-22,77
2021-08-23,360
2021-08-24,482
2021-08-25,458
2021-08-26,455
2021-08-27,352
2021-08-28,432
2021-08-29,429
2021-08-30,469
2021-08-31,540
2021-09-01,244
2021-09-02,508
2021-09-03,466
2021-09-04,336
2021-09-05,351
2021-09-06,481
2021-09-07,538
2021-09-08,513
2021-09-09,373
2021-09-10,492
2021-09-11,510
2021-09-12,501
2021-09-13,497
2021-09-14,591
2021-09-15,516
2021-09-16,493
2021-09-17,520
2021-09-18,507
2021-09-19,448
2021-09-20,539
2021-09-21,493
2021-09-22,502
2021-09-23,388
2021-09-24,510
2021-09-25,477
2021-09-26,529
2021-09-27,550
2021-09-28,508
2021-09-29,433
2021-09-30,572
2021-10-01,550
2021-10-02,520
2021-10-03,540
2021-10-04,359
2021-10-05,551
2021-10-06,533
2021-10-07,540
2021-10-08,551
2021-10-09,472
2021-10-10,358
2021-10-11,543
2021-10-12,577
2021-10-13,518
2021-10-14,537
2021-10-15,529
2021-10-16,459
2021-10-17,439
2021-10-18,470
2021-10-19,496
2021-10-20,503
2021-10-21,500
2021-10-22,462
2021-10-23,440
2021-10-24,456
2021-10-25,505
2021-10-26,279
2021-10-27,576
2021-10-28,504
2021-10-29,399
2021-10-30,502
2021-10-31,516
2021-11-01,474
2021-11-02,411
2021-11-03,457
2021-11-04,393
2021-11-05,419
2021-11-06,402
2021-11-07,349
2021-11-08,468
2021-11-09,491
2021-11-10,457
2021-11-11,461
2021-11-12,306
2021-11-13,333
2021-11-14,342
2021-11-15,353
2021-11-16,372
2021-11-17,430
2021-11-18,385
2021-11-19,316
2021-11-20,326
2021-11-21,325
2021-11-22,324
2021-11-23,314
2021-11-24,316
2021-11-25,87
2021-11-26,186
2021-11-27,174
2021-11-28,244
2021-11-29,294
2021-11-30,323
2021-12-01,395
2021-12-02,377
2021-12-03,340
2021-12-04,334
2021-12-05,301
2021-12-06,343
2021-12-07,334
2021-12-08,297
2021-12-09,322
2021-12-10,259
2021-12-11,325
2021-12-12,283
2021-12-13,370
2021-12-14,363
2021-12-15,378
2021-12-16,358
2021-12-17,304
2021-12-18,195
2021-12-19,229
2021-12-20,229
2021-12-21,278
2021-12-22,239
2021-12-23,250
2021-12-24,165
2021-12-25,40
2021-12-26,190
2021-12-27,153
2021-12-28,189
2021-12-29,199
2021-12-30,227
2021-12-31,190
2022-01-01,86
2022-01-02,281
2022-01-03,211
2022-01-04,249
2022-01-05,214
2022-01-06,276
2022-01-07,82
2022-01-08,127
2022-01-09,137
2022-01-10,207
2022-01-11,144
2022-01-12,265
2022-01-13,344
2022-01-14,225
2022-01-15,138
2022-01-16,126
2022-01-17,186
2022-01-18,253
2022-01-19,303
2022-01-20,168
2022-01-21,172
2022-01-22,168
2022-01-23,193
2022-01-24,233
2022-01-25,246
2022-01-26,235
2022-01-27,232
2022-01-28,218
2022-01-29,9
2022-01-30,53
2022-01-31,139
2022-02-01,187
2022-02-02,219
2022-02-03,119
2022-02-04,110
2022-02-05,175
2022-02-06,207
2022-02-07,175
2022-02-08,287
2022-02-09,258
2022-02-10,305
2022-02-11,309
2022-02-12,297
2022-02-13,111
2022-02-14,182
2022-02-15,201
2022-02-16,268
2022-02-17,304
2022-02-18,207
2022-02-19,188
2022-02-20,165
2022-02-21,267
2022-02-22,218
2022-02-23,325
2022-02-24,211
2022-02-25,162
2022-02-26,209
2022-02-27,236
2022-02-28,254
2022-03-01,279
2022-03-02,323
2022-03-03,245
2022-03-04,214
2022-03-05,245
2022-03-06,250
2022-03-07,301
2022-03-08,331
2022-03-09,121
2022-03-10,316
2022-03-11,295
2022-03-12,127
2022-03-13,168
2022-03-14,295
2022-03-15,352
2022-03-16,350
2022-03-17,246
2022-03-18,364
2022-03-19,353
2022-03-20,318
2022-03-21,344
2022-03-22,362
2022-03-23,272
2022-03-24,209
2022-03-25,338
2022-03-26,261
2022-03-27,223
2022-03-28,218
2022-03-29,230
2022-03-30,289
2022-03-31,334
2022-04-01,304
2022-04-02,290
2022-04-03,215
2022-04-04,304
2022-04-05,373
2022-04-06,210
2022-04-07,125
2022-04-08,384
2022-04-09,305
2022-04-10,296
2022-04-11,347
2022-04-12,383
2022-04-13,413
2022-04-14,357
2022-04-15,365
2022-04-16,347
2022-04-17,203
2022-04-18,229
2022-04-19,140
2022-04-20,413
2022-04-21,365
2022-04-22,409
2022-04-23,340
2022-04-24,335
2022-04-25,365
2022-04-26,357
2022-04-27,414
2022-04-28,318
2022-04-29,390
2022-04-30,357
2022-05-01,365
2022-05-02,282
2022-05-03,414
2022-05-04,374
2022-05-05,452
2022-05-06,145
2022-05-07,105
2022-05-08,292
2022-05-09,435
2022-05-10,428
2022-05-11,435
2022-05-12,485
2022-05-13,405
2022-05-14,331
2022-05-15,433
2022-05-16,365
2022-05-17,542
2022-05-18,451
2022-05-19,357
2022-05-20,341
2022-05-21,454
2022-05-22,391
2022-05-23,470
2022-05-24,430
2022-05-25,466
2022-05-26,445
2022-05-27,351
2022-05-28,300
2022-05-29,324
2022-05-30,368
2022-05-31,459
2022-06-01,374
2022-06-02,430
2022-06-03,478
2022-06-04,450
2022-06-05,406
2022-06-06,521
2022-06-07,526
2022-06-08,537
2022-06-09,472
2022-06-10,526
2022-06-11,423
2022-06-12,380
2022-06-13,534
2022-06-14,501
2022-06-15,565
2022-06-16,434
2022-06-17,464
2022-06-18,423
2022-06-19,330
2022-06-20,526
2022-06-21,486
2022-06-22,451
2022-06-23,513
2022-06-24,502
2022-06-25,582
2022-06-26,664
2022-06-27,362
2022-06-28,514
2022-06-29,484
2022-06-30,456
2022-07-01,398
2022-07-02,296
2022-07-03,298
2022-07-04,294
2022-07-05,402
2022-07-06,483
2022-07-07,451
2022-07-08,356
2022-07-09,426
2022-07-10,406
2022-07-11,472
2022-07-12,481
2022-07-13,520
2022-07-14,527
2022-07-15,470
2022-07-16,400
2022-07-17,421
2022-07-18,410
2022-07-19,541
2022-07-20,467
2022-07-21,430
2022-07-22,399
2022-07-23,397
2022-07-24,407
2022-07-25,456
2022-07-26,547
2022-07-27,576
2022-07-28,457
2022-07-29,448
2022-07-30,434
2022-07-31,423
2022-08-01,442
2022-08-02,549
2022-08-03,495
2022-08-04,474
2022-08-05,465
2022-08-06,466
2022-08-07,451
2022-08-08,537
2022-08-09,476
2022-08-10,492
2022-08-11,473
2022-08-12,475
2022-08-13,406
2022-08-14,396
2022-08-15,507
2022-08-16,307
2022-08-17,492
2022-08-18,509
2022-08-19,419
2022-08-20,367
2022-08-21,342
2022-08-22,281
2022-08-23,397
2022-08-24,442
2022-08-25,261
2022-08-26,411
2022-08-27,373
2022-08-28,401
2022-08-29,454
2022-08-30,505
2022-08-31,510
2022-09-01,525
2022-09-02,426
2022-09-03,350
2022-09-04,348
2022-09-05,397
2022-09-06,167
2022-09-07,524
2022-09-08,588
2022-09-09,541
2022-09-10,525
2022-09-11,322
2022-09-12,593
2022-09-13,575
2022-09-14,600
2022-09-15,593
2022-09-16,523
2022-09-17,459
2022-09-18,505
2022-09-19,493
2022-09-20,603
2022-09-21,584
2022-09-22,410
2022-09-23,548
2022-09-24,499
2022-09-25,457
2022-09-26,550
2022-09-27,583
2022-09-28,608
2022-09-29,528
2022-09-30,497
2022-10-01,264
2022-10-02,255
2022-10-03,221
2022-10-04,275
2022-10-05,335
2022-10-06,553
2022-10-07,506
2022-10-08,398
2022-10-09,391
2022-10-10,521
2022-10-11,546
2022-10-12,547
2022-10-13,344
2022-10-14,484
2022-10-15,491
2022-10-16,460
2022-10-17,442
2022-10-18,532
2022-10-19,512
2022-10-20,482
2022-10-21,485
2022-10-22,440
2022-10-23,320
2022-10-24,368
2022-10-25,501
2022-10-26,617
2022-10-27,572
2022-10-28,577
2022-10-29,513
2022-10-30,398
2022-10-31,578
2022-11-01,528
2022-11-02,531
2022-11-03,500
2022-11-04,547
2022-11-05,431
2022-11-06,413
2022-11-07,539
2022-11-08,450
2022-11-09,441
2022-11-10,537
2022-11-11,264
2022-11-12,461
2022-11-13,354
2022-11-14,412
2022-11-15,334
2022-11-16,414
2022-11-17,400
2022-11-18,332
2022-11-19,288
2022-11-20,196
2022-11-21,305
2022-11-22,361
2022-11-23,397
2022-11-24,86
2022-11-25,193
2022-11-26,250
2022-11-27,196
2022-11-28,389
2022-11-29,407
2022-11-30,263
2022-12-01,333
2022-12-02,385
2022-12-03,205
2022-12-04,334
2022-12-05,394
2022-12-06,259
2022-12-07,357
2022-12-08,423
2022-12-09,337
2022-12-10,309
2022-12-11,185
2022-12-12,315
2022-12-13,327
2022-12-14,366
2022-12-15,203
2022-12-16,110
2022-12-17,305
2022-12-18,207
2022-12-19,266
2022-12-20,271
2022-12-21,284
2022-12-22,189
2022-12-23,151
2022-12-24,84
2022-12-25,11
2022-12-26,122
2022-12-27,184
2022-12-28,213
2022-12-29,273
2022-12-30,294
2022-12-31,138
